°V½m¦¸¼Æ,Correct,Correct+-1,,weights,,,,,,,,,,,
5000,0.46125,0.90875,,0.182928,0.00156055,0.00938568,-0.00524812,0.000408162,0.00910744,-0.000983455,0.0323269,0.116889,0.0190579,0.390728,0.0323218
10000,0.46,0.9125,,0.158029,-0.00467143,0.0092344,-0.0033829,7.35E-05,0.00904391,-0.000984438,0.0343849,0.132733,0.0256429,0.401006,0.0343807
15000,0.46375,0.905,,0.138038,-0.0109386,0.00935219,-0.00213915,-0.000236703,0.0090011,-0.00094686,0.0364136,0.147781,0.0321217,0.407945,0.0364082
20000,0.46875,0.90625,,0.122144,-0.0172227,0.00969458,-0.00119059,-0.00052842,0.00896507,-0.000924868,0.0384408,0.162253,0.0385169,0.412706,0.0384327
25000,0.46875,0.9075,,0.109462,-0.0235184,0.0102145,-0.000472041,-0.000807114,0.00893435,-0.000914959,0.0404536,0.176207,0.0448328,0.41578,0.0404417
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
100,0.2275,0.56125,,,,,,,,,,,,,
200,0.23,0.62125,,,,,,,,,,,,,
300,0.25625,0.6825,,,,,,,,,,,,,
400,0.27875,0.73375,,,,,,,,,,,,,
500,0.29625,0.78625,,,,,,,,,,,,,
600,0.32125,0.815,,,,,,,,,,,,,
700,0.355,0.83375,,,,,,,,,,,,,
800,0.37125,0.8625,,,,,,,,,,,,,
900,0.40375,0.8825,,,,,,,,,,,,,
1000,0.41875,0.90125,,,,,,,,,,,,,
1100,0.4275,0.91125,,,,,,,,,,,,,
1200,0.44375,0.915,,,,,,,,,,,,,
1300,0.44375,0.915,,,,,,,,,,,,,
1400,0.45,0.91375,,,,,,,,,,,,,
1500,0.45625,0.92375,,,,,,,,,,,,,
1600,0.46125,0.9275,,,,,,,,,,,,,
1700,0.465,0.925,,,,,,,,,,,,,
1800,0.46875,0.9275,,,,,,,,,,,,,
1900,0.4775,0.92875,,,,,,,,,,,,,
2000,0.4875,0.93125,,,,,,,,,,,,,
2100,0.48,0.92875,,,,,,,,,,,,,
2200,0.48375,0.9325,,,,,,,,,,,,,
2300,0.48375,0.9325,,,,,,,,,,,,,
2400,0.49,0.9325,,,,,,,,,,,,,
2500,0.49375,0.93375,,,,,,,,,,,,,
2600,0.4975,0.9325,,,,,,,,,,,,,
2700,0.4975,0.9325,,,,,,,,,,,,,
2800,0.49875,0.93375,,,,,,,,,,,,,
2900,0.4975,0.93375,,,,,,,,,,,,,
3000,0.4975,0.93375,,,,,,,,,,,,,
3100,0.5,0.93375,,,,,,,,,,,,,
3200,0.49625,0.935,,,,,,,,,,,,,
3300,0.49375,0.935,,,,,,,,,,,,,
3400,0.49375,0.935,,,,,,,,,,,,,
3500,0.49625,0.935,,,,,,,,,,,,,
3600,0.49625,0.935,,,,,,,,,,,,,
3700,0.4975,0.935,,,,,,,,,,,,,
3800,0.495,0.935,,,,,,,,,,,,,
3900,0.49375,0.935,,,,,,,,,,,,,
4000,0.49375,0.935,,,,,,,,,,,,,
4100,0.4975,0.935,,,,,,,,,,,,,
4200,0.4975,0.935,,,,,,,,,,,,,
4300,0.49875,0.935,,,,,,,,,,,,,
4400,0.4975,0.935,,,,,,,,,,,,,
4500,0.49875,0.935,,,,,,,,,,,,,
4600,0.4975,0.935,,,,,,,,,,,,,
4700,0.49625,0.935,,,,,,,,,,,,,
4800,0.49625,0.935,,,,,,,,,,,,,
4900,0.49625,0.935,,,,,,,,,,,,,
5000,0.49625,0.93375,,,,,,,,,,,,,
5100,0.49625,0.93375,,,,,,,,,,,,,
5200,0.49625,0.93375,,,,,,,,,,,,,
5300,0.49625,0.93375,,,,,,,,,,,,,
5400,0.49375,0.93375,,,,,,,,,,,,,
5500,0.49375,0.93375,,,,,,,,,,,,,
5600,0.495,0.93375,,,,,,,,,,,,,
5700,0.495,0.93375,,,,,,,,,,,,,
5800,0.49625,0.93375,,,,,,,,,,,,,
5900,0.49375,0.93375,,,,,,,,,,,,,
6000,0.49375,0.93375,,,,,,,,,,,,,
